City,Country,Temperature,Humidity,Cloudiness,Windspeed,Date,Longitude,Latitude
Rikitea,PF,72.57,80,9,16.62,1593101997,-134.97,-23.12
Ostrovnoy,RU,52.11,61,23,2.57,1593101998,39.51,68.05
St. George's,GD,86.0,74,40,26.4,1593101953,-61.75,12.06
Butaritari,KI,82.51,78,23,12.17,1593101998,172.79,3.07
Lorengau,PG,82.65,76,95,13.53,1593101998,147.27,-2.02
Ongandjera,NA,70.32,23,0,4.32,1593101998,15.07,-17.88
Richards Bay,ZA,68.61,72,0,13.38,1593101998,32.04,-28.78
Great Yarmouth,GB,80.6,42,0,14.99,1593101998,1.73,52.61
North Platte,US,80.01,69,1,10.83,1593101998,-100.77,41.12
Marawi,PH,75.99,95,100,1.99,1593101998,124.29,8.0
Krasnosel'kup,RU,61.61,50,98,4.9,1593101998,82.47,65.7
Talnakh,RU,62.6,59,71,15.66,1593101998,88.4,69.49
East London,ZA,73.44,35,0,8.05,1593101998,27.91,-33.02
Dārāb,IR,95.86,9,0,8.81,1593101998,54.54,28.75
Yangi Marg`ilon,UZ,80.6,30,0,6.93,1593101998,71.72,40.43
Temba,ZA,62.6,36,0,2.24,1593101998,28.26,-25.38
Beringovskiy,RU,39.67,86,68,8.48,1593101998,179.32,63.05
Basirhat,IN,87.8,89,40,11.41,1593101998,88.87,22.67
Cidreira,BR,68.25,89,100,12.93,1593101999,-50.21,-30.18
Nanortalik,GL,42.04,81,100,11.72,1593101999,-45.24,60.14
Mīnāb,IR,93.2,71,0,9.17,1593101999,57.08,27.15
Puerto Ayora,EC,80.6,57,23,14.99,1593101999,-90.35,-0.74
Supe,PE,65.75,71,96,5.73,1593101999,-77.73,-10.8
Lüderitz,NA,64.4,68,0,5.82,1593101999,15.16,-26.65
Mahébourg,MU,73.4,69,40,16.11,1593101999,57.7,-20.41
Tasiilaq,GL,42.8,81,75,8.05,1593101999,-37.64,65.61
Tabou,CI,78.08,81,56,12.28,1593101999,-7.35,4.42
Upernavik,GL,36.61,90,100,4.23,1593101999,-56.15,72.79
Beloha,MG,68.88,73,0,14.79,1593101999,45.05,-25.17
Neiafu,TO,71.6,94,75,16.69,1593102000,-173.98,-18.65
Ambilobe,MG,72.93,76,0,4.85,1593102000,49.05,-13.2
Ambulu,ID,73.62,88,100,4.54,1593102000,113.61,-8.35
Aykhal,RU,66.2,52,0,6.71,1593102000,111.5,66.0
Nesbyen,NO,82.0,34,34,5.99,1593102000,9.1,60.57
Tuatapere,NZ,39.0,83,2,3.0,1593102000,167.68,-46.13
Yar-Sale,RU,52.65,75,100,17.36,1593102000,70.83,66.83
Kruisfontein,ZA,65.77,30,0,5.17,1593102000,24.73,-34.0
Vao,NC,69.85,58,27,11.14,1593102000,167.48,-22.67
Yellowknife,CA,61.0,71,75,8.05,1593101921,-114.35,62.46
Nosy Varika,MG,69.39,86,33,2.06,1593102000,48.53,-20.58
Clyde River,CA,53.6,58,20,4.7,1593102000,-68.59,70.47
Olafsvik,IS,47.57,82,99,4.0,1593102000,-23.71,64.89
Castro,BR,72.41,60,22,15.99,1593102000,-50.01,-24.79
São Filipe,CV,77.09,74,14,7.27,1593102000,-24.5,14.9
Grand Gaube,MU,73.0,72,9,13.0,1593102000,57.66,-20.01
Mkushi,ZM,66.02,54,87,7.38,1593102000,29.39,-13.62
Shitanjing,CN,73.99,22,88,2.68,1593102000,106.34,39.23
Hong Kong,HK,84.0,90,100,12.01,1593101865,114.16,22.29
Lodwar,KE,89.83,35,43,9.48,1593102001,35.6,3.12
Atuona,PF,79.43,77,10,19.37,1593102001,-139.03,-9.8
Saint George,US,88.0,13,1,2.64,1593101714,-113.58,37.1
Somerset,US,86.0,42,1,3.36,1593102001,-74.55,40.57
Carutapera,BR,82.99,81,98,5.55,1593102001,-46.02,-1.2
Kavieng,PG,83.1,75,60,13.13,1593102001,150.8,-2.57
Bluff,NZ,39.0,83,3,3.0,1593102001,168.33,-46.6
Norman Wells,CA,51.8,93,90,4.7,1593102001,-126.83,65.28
Djibouti,DJ,91.4,75,1,4.7,1593102001,42.5,11.5
Myitkyina,MM,75.7,96,92,1.43,1593102001,97.4,25.38
Rocha,UY,53.49,72,78,19.1,1593102001,-54.33,-34.48
Sumenep,ID,78.69,79,74,9.31,1593102002,113.87,-7.02
Kumul,CN,85.66,19,90,19.48,1593102002,93.45,42.8
Tuktoyaktuk,CA,35.6,69,75,16.11,1593102002,-133.04,69.45
Shūshtar,IR,103.17,8,0,9.89,1593102002,48.86,32.05
Nouadhibou,MR,80.6,54,0,19.46,1593102002,-17.03,20.93
Samaná,DO,87.8,79,40,13.87,1593102002,-69.34,19.21
Muswellbrook,AU,48.99,60,0,4.21,1593102002,150.9,-32.27
Hilo,US,73.4,88,90,4.7,1593102002,-155.09,19.73
Torbay,CA,77.0,78,90,9.17,1593102002,-52.73,47.67
Ancud,CL,46.0,100,75,3.36,1593102002,-73.82,-41.87
Santiago del Estero,AR,60.01,34,46,7.87,1593102002,-64.26,-27.8
Pacific Grove,US,61.0,82,90,3.36,1593101879,-121.92,36.62
Elizabeth City,US,82.4,69,75,6.93,1593102002,-76.25,36.29
Khatanga,RU,72.27,52,81,13.94,1593102002,102.5,71.97
Fairbanks,US,55.0,81,1,2.46,1593101937,-147.72,64.84
Gamboma,CG,88.84,44,100,1.97,1593102002,15.86,-1.88
Salalah,OM,84.2,89,75,10.29,1593101798,54.09,17.02
Chui,UY,54.52,72,97,19.53,1593102003,-53.46,-33.7
Praia,CV,86.0,51,0,19.46,1593101977,-23.51,14.92
Sacramento,US,73.99,60,1,1.86,1593102003,-121.32,38.47
Şile,TR,77.0,71,0,4.0,1593102003,29.61,41.18
Fort Nelson,CA,62.6,33,40,13.87,1593101774,-122.7,58.81
Dhidhdhoo,MV,79.41,87,100,30.31,1593102003,73.1,6.88
Hithadhoo,MV,84.6,73,77,11.1,1593102003,73.08,-0.6
Ambatofinandrahana,MG,56.66,89,18,6.96,1593102003,46.8,-20.55
Gambo,CF,77.49,76,99,2.33,1593102003,22.26,4.65
Arteaga,MX,71.76,80,100,2.15,1593102003,-102.42,18.47
Arraial do Cabo,BR,84.2,42,41,10.29,1593102003,-42.03,-22.97
Tura,IN,75.04,97,100,5.3,1593101951,90.22,25.52
Mago,RU,50.2,96,100,3.6,1593102004,140.18,53.25
Pevek,RU,33.01,98,100,4.59,1593102004,170.31,69.7
Avezzano,IT,82.99,54,40,11.41,1593102004,13.44,42.04
Helong,CN,58.66,90,100,2.26,1593102004,129.0,42.54
Jimo,CN,73.99,83,0,6.71,1593102004,120.46,36.39
Garhiyasin,PK,100.4,47,75,11.41,1593102004,68.51,27.91
Pisco,PE,63.0,88,90,5.82,1593102004,-76.22,-13.7
Sinnamary,GF,84.45,73,49,8.52,1593102004,-52.95,5.38
Cherskiy,RU,60.49,51,84,11.21,1593102004,161.3,68.75
Hualmay,PE,66.56,69,82,5.91,1593102004,-77.61,-11.1
Kysyl-Syr,RU,61.09,70,28,5.53,1593102004,122.76,63.9
Paramonga,PE,65.79,72,94,6.31,1593102004,-77.83,-10.67
Yondó,CO,87.8,70,40,3.36,1593102004,-73.91,7.01
Liberal,US,82.4,32,1,25.28,1593102004,-100.92,37.04
Sitka,US,48.2,87,90,6.93,1593102004,-135.33,57.05
Say,NE,102.2,27,47,6.93,1593102004,2.37,13.1
Sorong,ID,78.31,88,100,8.79,1593102004,131.25,-0.88
Coquimbo,CL,57.2,67,100,3.36,1593102004,-71.34,-29.95
Mayo,US,82.0,51,20,3.36,1593101769,-76.51,38.89
Surin,TH,86.0,81,100,8.66,1593102005,103.49,14.88
George Town,MY,80.6,88,20,3.36,1593102005,100.34,5.41
Price,US,78.8,22,1,3.36,1593102005,-110.81,39.6
Kaeo,NZ,55.99,3,100,7.9,1593102005,173.78,-35.1
Port Blair,IN,83.12,77,73,14.5,1593102005,92.75,11.67
Provideniya,RU,41.34,66,5,2.35,1593102005,-173.3,64.38
Chandrakona,IN,85.95,69,100,13.27,1593102005,87.52,22.73
Nikolskoye,RU,80.6,44,0,8.95,1593102005,30.79,59.7
Guerrero Negro,MX,69.3,68,23,10.83,1593102005,-114.06,27.98
Burns Lake,CA,55.26,62,99,4.03,1593101920,-125.75,54.23
Dzerzhinskoye,RU,64.04,91,97,3.44,1593102005,95.23,56.83
Shar,KZ,67.68,69,73,2.33,1593102005,81.05,49.59
Ilulissat,GL,41.0,80,75,3.36,1593101741,-51.1,69.22
Baharly,TM,96.71,10,15,4.68,1593102005,57.43,38.44
Vercelli,IT,84.0,54,20,5.82,1593102005,8.42,45.32
Faanui,PF,78.3,85,11,13.15,1593102005,-151.75,-16.48
San Andrés,CO,86.0,70,20,14.99,1593102005,-81.7,12.58
Assiut,EG,91.4,27,14,17.22,1593102005,31.18,27.18
Coos Bay,US,62.01,82,1,6.93,1593102005,-124.22,43.37
Meulaboh,ID,76.73,86,100,6.35,1593102005,96.13,4.14
Lembeni,TZ,71.83,63,96,8.39,1593102006,37.62,-3.78
Khani,GE,77.0,69,40,13.87,1593102006,42.96,41.96
Nome,US,39.0,74,40,5.82,1593102006,-165.41,64.5
Egvekinot,RU,35.69,94,100,7.96,1593102006,-179.17,66.32
Half Moon Bay,US,69.01,93,90,8.05,1593101857,-122.43,37.46
Kisangani,CD,80.6,74,75,6.93,1593102006,25.2,0.52
Antofagasta,CL,59.0,72,40,9.17,1593101943,-70.4,-23.65
Avarua,CK,69.8,77,33,3.36,1593102006,-159.78,-21.21
Aklavik,CA,53.6,71,75,8.05,1593102006,-135.01,68.22
Suileng,CN,58.08,95,99,5.46,1593102006,127.08,47.25
Lata,PT,77.0,65,23,10.56,1593102006,-8.33,40.16
Yaring,TH,78.8,83,20,6.93,1593102006,101.37,6.87
Okmulgee,US,86.0,51,1,8.23,1593102006,-95.96,35.62
Takoradze,GH,79.77,79,35,12.84,1593102006,-1.76,4.88
Qaqortoq,GL,44.6,87,75,5.82,1593102006,-46.03,60.72
Yaan,NG,84.81,70,90,6.89,1593102006,8.57,7.38
Esim,GH,80.01,78,49,12.03,1593102006,-2.24,4.87
La Ronge,CA,66.29,57,42,5.08,1593102006,-105.28,55.1
Broome,US,75.0,43,20,16.11,1593102006,-75.83,42.25
Santa Rita do Sapucaí,BR,71.91,61,100,7.14,1593102007,-45.7,-22.25
Kokopo,PG,79.32,80,100,12.84,1593102007,152.26,-4.35
Dalbandin,PK,90.63,11,0,6.96,1593102007,64.41,28.89
Niigata,JP,71.01,100,90,1.12,1593102007,139.02,37.9
Hofn,IS,53.6,81,40,13.87,1593102007,-15.21,64.25
Dingle,PH,78.71,82,100,5.55,1593102007,122.67,11.0
Colonia Nueva Germania,PY,70.11,90,85,9.19,1593102007,-56.57,-23.9
Wajima,JP,72.12,95,100,9.53,1593102007,136.9,37.4
Chapais,CA,57.2,87,90,12.75,1593102007,-74.85,49.78
Marsh Harbour,BS,83.35,75,1,9.4,1593102007,-77.06,26.54
Saldanha,ZA,59.0,87,7,12.75,1593102007,17.94,-33.01
São Miguel do Araguaia,BR,88.61,34,0,5.99,1593102007,-50.16,-13.28
New Norfolk,AU,46.99,82,3,3.0,1593102007,147.06,-42.78
Jalu,LY,94.91,17,0,12.15,1593102007,21.55,29.03
Codrington,AU,45.27,83,4,6.33,1593102007,141.97,-38.27
Tiznit Province,MA,79.25,50,73,9.91,1593102007,-9.5,29.58
Batticaloa,LK,79.56,83,100,4.7,1593102007,81.69,7.71
Porto Santo,PT,71.6,68,20,16.11,1593102007,-16.34,33.07
Kaitangata,NZ,44.01,79,34,5.01,1593102008,169.85,-46.28
Carnarvon,AU,55.4,100,0,1.12,1593102008,113.63,-24.87
Anadyr,RU,44.6,87,40,8.95,1593102008,177.48,64.75
Gobabis,NA,68.0,19,0,1.12,1593102008,18.97,-22.45
Lillooet,CA,68.0,64,1,3.36,1593102008,-121.94,50.69
Peterhead,GB,66.99,77,71,11.41,1593102008,-1.8,57.51
Ahipara,NZ,57.78,87,100,9.15,1593102008,173.17,-35.17
Peace River,CA,60.8,67,75,2.24,1593101779,-117.29,56.25
Bandarbeyla,SO,81.84,70,66,31.9,1593102008,50.81,9.49
Chimbote,PE,67.26,70,87,9.66,1593102008,-78.58,-9.09
Lodja,CD,86.52,37,96,1.05,1593101873,23.43,-3.48
Bodden Town,KY,89.6,75,20,9.17,1593102008,-81.25,19.28
Novikovo,RU,67.84,68,0,6.22,1593102008,37.89,51.15
Arrondissement de Saint-Denis,FR,93.2,30,17,4.7,1593102008,2.33,48.92
Novy Urengoy,RU,58.84,64,100,10.78,1593102008,76.63,66.08
Kentau,KZ,76.41,17,11,6.15,1593102008,68.51,43.52
Thompson,CA,69.8,60,75,5.82,1593102008,-97.86,55.74
Dikson,RU,37.65,98,100,4.03,1593102008,80.55,73.51
Cockburn Town,TC,83.16,78,7,16.73,1593102009,-71.14,21.46
Lagoa,PT,65.59,86,11,17.65,1593102009,-27.98,39.05
Osorno,CL,44.6,87,95,6.93,1593102009,-73.15,-40.57
Muscat,OM,86.0,84,68,3.36,1593102009,58.59,23.61
Bay City,US,73.4,46,1,6.93,1593102009,-83.89,43.59
Honiara,SB,71.6,100,20,4.25,1593102009,159.95,-9.43
Bustamante,MX,84.83,43,82,3.44,1593102009,-100.5,26.53
Yetkul',RU,51.8,57,40,13.42,1593102009,61.59,54.82
Aginskoye,RU,55.96,67,7,3.22,1593102009,114.53,51.1
Tucumcari,US,86.0,27,1,25.28,1593102009,-103.72,35.17
Nyurba,RU,56.86,92,72,1.59,1593102009,118.33,63.28
Damietta,EG,78.8,69,20,12.75,1593102009,31.81,31.42
Chenghai,CN,86.0,74,100,6.71,1593102009,116.77,23.46
Solnechnyy,RU,52.18,92,99,2.77,1593102009,136.63,50.72
Saskylakh,RU,77.45,32,35,7.74,1593102009,114.08,71.92
Moose Factory,CA,50.0,100,90,6.93,1593102010,-80.61,51.26
Guasca,CO,62.6,55,75,5.82,1593102010,-73.88,4.87
Whitefish,US,64.0,67,1,5.82,1593101847,-114.34,48.41
Airai,TL,56.95,100,30,3.24,1593102010,125.41,-8.93
Bambous Virieux,MU,73.4,69,40,16.11,1593102010,57.76,-20.34
Leshukonskoye,RU,52.16,61,100,8.14,1593102010,45.76,64.9
Yangjiang,CN,81.54,92,100,8.7,1593102010,111.97,21.85
Buala,SB,80.62,81,87,8.52,1593102010,159.59,-8.14
San Bartolomé de Tirajana,ES,78.8,54,40,34.45,1593102010,-15.57,27.92
Aripuanã,BR,93.97,37,13,2.91,1593102010,-60.63,-9.17
Panacan,PH,82.4,88,90,4.7,1593102010,118.41,9.25
Bāfq,IR,94.51,10,0,11.74,1593102010,55.41,31.61
Ketchikan,US,50.0,100,90,8.05,1593102010,-131.65,55.34
Paamiut,GL,40.37,90,86,13.67,1593102010,-49.67,61.99
Ambunti,PG,73.92,98,100,1.12,1593102010,142.84,-4.24
Tilichiki,RU,46.38,91,55,3.87,1593102010,166.1,60.47
Baykit,RU,62.46,80,29,2.66,1593102011,96.37,61.67
Isoka,ZM,67.06,63,38,3.98,1593102011,32.63,-10.16
General Roca,AR,42.8,60,0,4.7,1593102011,-67.58,-39.03
La Cruz,MX,84.78,58,1,5.97,1593102011,-106.9,23.92
Boca do Acre,BR,91.87,49,31,2.55,1593102011,-67.4,-8.75
Baoqing,CN,55.04,96,45,4.25,1593102011,132.21,46.33
Āsasa,ET,59.47,75,76,2.82,1593102011,39.2,7.1
Sukhobuzimskoye,RU,66.2,82,98,2.24,1593102011,93.27,56.5
Bukene,TZ,75.38,36,13,4.7,1593102011,32.88,-4.23
Calama,CL,66.2,3,0,9.17,1593102011,-68.93,-22.47
Tamandaré,BR,81.14,70,83,12.24,1593102011,-35.1,-8.76
Saint-Joseph,RE,71.6,78,27,14.99,1593102011,55.62,-21.37
Hambantota,LK,77.0,100,90,2.24,1593102011,81.12,6.12
Natal,BR,84.2,58,40,17.22,1593101833,-35.21,-5.79
Tumsar,IN,90.43,53,83,7.09,1593102012,79.73,21.38
Pangnirtung,CA,42.8,81,90,12.75,1593102012,-65.71,66.15
Tiksi,RU,46.56,84,6,4.32,1593102012,128.87,71.69
Tsiroanomandidy,MG,68.88,59,65,2.21,1593102012,46.03,-18.77
Villarrica,PY,60.75,90,97,12.15,1593102012,-56.43,-25.75
Moctezuma,MX,91.38,18,59,4.5,1593101731,-109.67,29.8
Peleduy,RU,57.74,76,16,1.68,1593102012,112.74,59.63
Sri Aman,MY,77.0,94,100,2.24,1593102012,111.46,1.24
Zhoucun,CN,78.01,75,23,1.01,1593102012,117.82,36.82
Kindu,CD,84.78,42,90,0.83,1593102012,25.95,-2.95
Ilo,PE,64.35,71,62,8.23,1593102012,-71.34,-17.64
Soyo,AO,80.6,65,20,6.93,1593102012,12.37,-6.13
Portland,US,62.01,82,90,4.7,1593101504,-122.68,45.52
Río Gallegos,AR,33.8,86,20,9.17,1593102012,-69.22,-51.62
Vilhena,BR,86.0,45,92,11.41,1593101897,-60.15,-12.74
Longyearbyen,SJ,48.2,76,75,5.82,1593102012,15.64,78.22
Limbang,MY,77.0,88,75,8.05,1593102013,115.0,4.75
Ponta do Sol,PT,72.0,64,40,12.75,1593102013,-17.1,32.67
Vysokogornyy,RU,46.36,95,100,1.7,1593102013,139.15,50.12
Bāndarban,BD,86.0,84,20,6.93,1593102013,92.23,22.2
Beachwood,US,77.0,50,40,12.75,1593102013,-81.51,41.46
Lavrentiya,RU,37.54,78,9,5.01,1593102013,-171.0,65.58
Doha,QA,97.0,59,0,9.17,1593102013,51.53,25.29
Ambon City,ID,81.0,13,96,15.28,1593102013,128.18,-3.7
Nurota,UZ,91.4,11,0,4.7,1593102013,65.69,40.56
Fukuechō,JP,75.42,92,98,6.49,1593102013,128.84,32.69
Oranjemund,NA,59.22,80,0,7.31,1593102013,16.43,-28.55
Salaga,GH,92.17,48,71,6.31,1593102013,-0.52,8.55
Sinegor'ye,RU,63.0,55,79,4.36,1593102013,150.48,62.08
Kutum,SD,83.61,31,97,15.21,1593102013,24.67,14.2
Ternate,ID,80.76,77,97,5.5,1593102013,127.4,0.8
Zhuangyuan,CN,72.0,82,0,2.86,1593102013,120.83,37.3
Burgersdorp,ZA,50.85,40,0,8.86,1593102013,26.33,-31.0
Isangel,VU,73.17,86,97,13.13,1593102013,169.27,-19.55
Coahuayana Viejo,MX,73.4,83,75,2.44,1593102014,-103.68,18.73
Olden,NO,77.0,44,0,8.05,1593102014,6.81,61.84
Pacasmayo,PE,68.63,69,87,10.83,1593102014,-79.57,-7.4
Envira,BR,81.95,84,21,1.97,1593102014,-70.22,-7.3
Palauig,PH,80.15,83,100,8.95,1593102014,119.9,15.44
Andenes,NO,55.4,71,75,17.22,1593102014,16.12,69.31
Daşoguz,TM,86.0,25,3,4.7,1593102014,59.97,41.84
Camaná,PE,65.75,68,44,10.16,1593102014,-72.71,-16.62
Saint-Pierre,RE,71.6,78,22,14.99,1593102014,55.48,-21.34
Sur,OM,85.87,72,81,10.4,1593102014,59.53,22.57
Sola,VU,78.8,94,20,13.11,1593102014,167.55,-13.88
Saint Anthony,US,80.01,39,1,4.7,1593102014,-93.22,45.02
Poconé,BR,90.95,36,100,8.88,1593102014,-56.62,-16.26
Otradnoye,RU,80.6,44,0,8.95,1593102014,30.82,59.78
San Miguel de Cozumel,MX,88.0,70,40,11.41,1593101934,-86.95,20.51
Stephenville,US,82.4,61,1,4.7,1593102014,-98.2,32.22
Batagay,RU,68.88,44,8,2.1,1593102014,134.63,67.63
Omboué,GA,75.11,76,20,11.18,1593102014,9.26,-1.57
Florianópolis,BR,79.0,50,71,9.17,1593101718,-48.5,-27.61
Lakselv,NO,64.4,55,40,23.04,1593102014,24.97,70.05
Kavaratti,IN,82.78,77,100,23.94,1593102015,72.64,10.57
Santa Cruz de La Palma,ES,77.0,57,20,19.46,1593102015,-17.76,28.68
Weihe,CN,66.52,90,93,5.26,1593102015,105.32,33.0
Buchanan,LR,84.2,79,75,8.05,1593102015,-10.05,5.88
Banda Aceh,ID,80.62,69,100,3.94,1593102015,95.32,5.56
Mushie,CD,89.38,40,99,2.57,1593102015,16.9,-3.02
Cabatuan,PH,78.39,82,100,5.23,1593102015,122.49,10.88
Bilibino,RU,51.96,72,100,2.73,1593102015,166.44,68.05
Songyang,CN,84.99,99,27,7.94,1593102015,113.03,34.46
Verrettes,HT,93.2,46,75,17.22,1593102015,-72.47,19.05
Cherdyn',RU,46.89,86,100,7.92,1593102015,56.48,60.4
Gigmoto,PH,82.56,82,99,5.66,1593102015,124.39,13.78
Cayenne,GF,82.4,78,75,4.7,1593102015,-52.33,4.93
Wenling,CN,79.0,97,99,6.87,1593102015,121.36,28.37
Rosarito,MX,64.99,82,90,3.36,1593102015,-117.03,32.33
Jaranwala,PK,97.83,34,0,6.38,1593102015,73.43,31.33
Krasnyy Chikoy,RU,56.07,82,9,2.01,1593102015,108.75,50.36
Agadez,NE,108.25,6,0,10.51,1593102015,10.25,19.75
Utete,TZ,76.01,74,38,6.91,1593102015,38.76,-7.99
Choma,ZM,60.57,63,96,5.21,1593101944,26.95,-16.81
Porto-Novo,BJ,84.2,79,20,14.99,1593102015,2.6,6.5
Ulaanbaatar,MN,55.4,82,91,2.24,1593101828,106.88,47.91
Vilyuysk,RU,61.27,69,55,5.53,1593102016,121.62,63.76
Lashio,MM,69.67,98,100,1.32,1593102016,97.75,22.93
Shwebo,MM,78.51,89,100,6.35,1593102016,95.7,22.57
Port-Cartier,CA,64.99,72,40,11.41,1593102016,-66.87,50.03
Weiser,US,78.8,34,1,4.27,1593102016,-116.97,44.25
Nālūt,LY,97.63,9,0,12.39,1593102016,10.85,30.33
Katsuura,JP,71.01,94,75,11.41,1593102016,140.3,35.13
Vila Velha,BR,80.6,61,40,11.41,1593101966,-40.29,-20.33
Nipawin,CA,66.2,82,75,12.75,1593102016,-104.0,53.37
Ginir,ET,61.56,89,2,6.93,1593102016,40.7,7.13
Visby,SE,80.01,49,0,5.82,1593102016,18.3,57.64
Gamba,GA,74.97,76,98,9.84,1593102016,10.0,-2.65
Yumen,CN,73.9,18,96,8.41,1593102016,97.2,40.28
Broken Hill,AU,44.6,65,0,1.12,1593102016,141.43,-31.95
Mogadishu,SO,79.39,81,39,17.92,1593101767,45.34,2.04
Bereda,ES,66.0,1,19,6.11,1593102016,-7.54,43.27
Tegul'det,RU,60.6,90,20,2.55,1593102016,88.17,57.31
Celestún,MX,87.21,62,99,9.75,1593102016,-90.4,20.87
Laas,IT,66.2,68,75,8.05,1593102016,10.7,46.62
Amapá,BR,87.76,56,75,4.5,1593102017,-52.0,1.0
Watsa,CD,70.52,94,97,0.18,1593102017,29.54,3.04
Vila Franca do Campo,PT,68.0,77,20,19.46,1593102017,-25.43,37.72
Kahului,US,75.2,73,40,8.05,1593101966,-156.47,20.89
Fallon,US,77.0,36,75,3.36,1593101909,-118.78,39.47
High Rock,BS,87.8,74,20,8.05,1593102017,-78.28,26.62
Byron Bay,AU,52.0,93,25,8.14,1593102017,153.62,-28.65
Alofi,NU,71.6,100,88,5.82,1593102017,-169.92,-19.06
San Cristobal,VE,87.8,45,40,24.16,1593102017,-72.22,7.77
Port Lincoln,AU,54.1,82,34,4.97,1593102017,135.87,-34.73
Turbat,PK,87.4,67,15,10.4,1593102017,63.04,26.0
Polyarny,RU,68.0,52,90,4.47,1593102017,33.45,69.2
Acarí,PE,73.4,44,51,8.57,1593102017,-74.62,-15.43
Zhigansk,RU,61.57,68,9,4.83,1593102017,123.37,66.77
Trebišov,SK,84.2,54,40,1.12,1593102017,21.72,48.63
Brae,GB,59.0,87,94,11.41,1593102017,-1.35,60.4
